branchcode,clientid,treat,pair,female,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,o1,o2,o3,o4,o5,o6,o7,o8
5,1159,0,140476,1,100,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,833.33331,1333.3334
20,2785,0,1304,1,20,0,0,0,1,0,1,1,0,300,300,0,0,0,0,0,0,0,0,400,800
5,1098,0,260387,0,60.000004,1,0,1,0,0,1,0,1,180,180,0,0,1,0,0,0,0,0,1333.3334,3666.6667
5,1085,0,260445,0,20,1,0,1,0,0,1,0,0,1500,4000,0,0,0,0,0,0,0,0,3000,5000
7,1564,1,280668,0,50,1,1,0,1,0,1,0,0,600,500,0,0,1,0,0,0,0,0,766.66669,2466.6667
7,1551,0,160637,1,50,0,1,0,1,0,1,0,0,1700,1500,0,0,0,1,1000,0,0,1,966.66669,4666.6665
7,1545,1,280705,0,50,0,1,0,0,0,1,0,0,2200,2000,0,0,1,0,0,0,0,0,1133.3334,4566.6665
5,1237,0,260443,0,50,0,0,1,0,0,1,1,0,400,400,0,0,1,0,0,0,0,0,1000,3000
7,1569,1,280681,0,50,0,1,0,0,0,1,1,0,500,500,0,0,1,0,0,0,0,0,450,2200
7,1566,1,280693,0,100,0,0,1,0,1,0,0,0,2000,2000,0,0,1,0,0,0,0,0,883.33331,3933.3333
7,1637,1,280706,0,50,1,0,0,0,0,1,0,0,1500,1500,0,0,1,1,500,0,0,0,1500,3000
7,1713,1,280719,0,80,0,0,1,0,1,0,0,0,600,0,0,1,0,0,0,0,0,0,3000,12000
7,1559,1,280713,0,30.000002,1,0,0,0,1,1,0,1,700,600,0,0,0,1,3000,0,0,1,3166.6667,51666.668
7,1667,1,280670,0,25,0,1,1,0,1,1,0,0,600,550,0,0,0,0,0,0,0,0,933.33331,5833.3335
7,1717,1,280664,0,20,1,0,0,0,0,1,0,0,1100,1200,0,0,1,0,0,0,0,0,1266.6666,1433.3334
7,1561,0,280664,0,10,1,0,0,0,0,1,0,0,500,500,0,0,0,0,0,0,0,0,566.66669,750
7,1568,1,280711,0,20,0,0,0,0,1,0,0,0,700,700,0,0,0,0,0,0,0,0,3833.3333,14166.667
7,1732,0,280720,0,30.000002,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,783.33331,1000
